TB40524;BR TW100 L-T 109X7.30MM TB C/5
TB40525;BR TW100 L-T 109X7.40MM TB C/5
PLAN2000-B2;BATEDEIRA PLANETÁRIA COM TIGELA EM INOX 220V 750W
DWE4577BR;ESMERILHADEIRA ANGULAR 7 180mm
1002630-00;ARRUELA DE FIBRA
SP912127;ALOJAMENTO DA BUCHA
1003013-00;PINO
1004014-00;COLETOR
1004112-00;COLAR
1004440-01;RETENTOR DA ESFERA
1004525-45;MOLA DA ALAVANCA
28-083S;ESPATULA DE CABO PLASTICO 3"
28-084S;ESPATULA DE CABO PLASTICO 4" (102MM)
1004686-31;CARCACA
1006389-00;TERMINAL
1006592-01;VENTOINHA
1006625-00;RETENTOR
1006721-00;TAMPA DIREITA
144943-04;EMPUNHADURA
D28136-BR;ESMERILHADEIRA 4 1/2
145375-02;BATENTE
147190-00;PRESILHA
151799-99;PARAFUSO
152257-00;TAMPA DOSADORA BLENDER ANTIGO
172944-08;BOTAO TEMPERATURA PFOX320
176695-00SV;EIXO E ENGR. 46 DENTES
180319;INSERTO DA TRAVA
180496;MOLA
185251-00;CHAVE DW861B/PRO30
186188-01;EMPUNHAD. PRETA BHXX
186320-13;CONJ.HOUSING PINT.X570
188515-00;CONJ.GUARDA SUPERIORDW352
24069HY;JOGO DE ENGATES
248421-05;TAMPA
327313-02;EIXO
329957-01;ALAVANCA
330075-66;MANDRIL 1/2 X 1/2
330075-85;MANDRIL 3/8
370167-00;PARAFUSO M3 x 8 DW317
SP608046;MOLA
382177-00;CAIXA DE CAMPO
615057-00;ETIQ. ESPECIF. DW389-BRTIPO 2
385676-01;PARAFUSO DIE HARD
168264-02;BUCHA DO CABO ELETRICO OSF
168507-00;MOLA
