063901102;CAFETEIRA INOX PLUS BCF36I 127V
128003185;NOTEBOOK PHN 13010
053301001;P EF NECTAR TURBO 100W 127V
053602012ATA;FE CERAMIC PFEC 220V V.A
056451015ATB;FREEZER HORIZONTAL PH327 127V V.B
096652111ATA;AR COND PH12000IFM 220V Unit Int V.A              
096652440;AR COND PAC12000TFM5B
066452008;FRIGOBAR BFG85PL 220V
056651082;AR COND PORTATIL PAC11000QF4 VIRUS PROTECT 127V
103402030;BATEDEIRA PBT510 VM 220V
099323052ATB;TV PTV32G50SN LED V.B                                                           
063802031ATB;FRIT AIR FRY PRO SAUDE 3.2L PR 220V                                             
096662163;AR COND PAC12000TQFM11 EXT 220V
096652051ATA;AR COND PH24000QFM4 220V unid. Int V              
096652055ATA;AR COND PH24000QFM4 220V unid. Ext V              
065801000ATF;VAPOR EXPRESS 127V VERSAO F                       
065103007ATC;BEBEDOURO AQUA BIVOLT V.C                         
056301005;CORT CABELOS DUAL ACTION TITANIUM 127V
056651082;AR COND PORTATIL PAC11000QF4 VIRUS PROTECT 127V
103012023;VENT PVT500 TURBO 220V
054901053;ASPIRADOR DE PO PAS10 127V
096652392ATA;AR COND PAC24000IFM4 220V Unid. Ext. V.A
066701002;GRILL LIGHT 2 127V                 
066402048ATA;PANELA DE PRESSAO 3L 220V V.A
064301012;PANIFICADORA FUN KITCHEN TOUCH 127V
096662163;AR COND PAC12000TQFM11 EXT 220V
056955008ATD;AUTO RADIO PCA 530 VERSAO D                       
063801029ATA;FRIT AIR FRY PRO SAUDE 2 127V V.A                 
033151002ATA;VENT TT NEVADA II 3 PAS 127V MG                                                 
063901002;CAFETEIRA NCB14 127V               
096652445;AR COND PAC9000TQFM9 INT
064901011;ASP PO 1600 PET 127V
056102043;FORNO ELETRICO 48L  P 220V
096652410ATA;AR COND PAC18000IFM8 220V INT V.A                                               
098003263ATA;NETBOOK 10C-R123WS VERSAO A
063302011;EF BELLAGIO N 220V
9063901001;CAF EXPRESSO 15B 127V
056452058ATA;REFRIGERADOR SIDE BY SIDE PRF504I 220V V.A
096652441;AR COND PAC12000TFM5B
033402090ATA;BAT PLANETARIA BBT500V INOX 220V V.A                                            
056603757ATA;MINI SYSTEM PHS500BT V.A                                                        
063601038;FE FB996 127V
096652411ATA;AR COND PAC18000IFM8 UNID. EXTERNA V.A
056702003ATA;GRILL LARGE INOX 220V V.A (PLUG 2 PI              
059011004;DEPURADOR PDR90B 127V
056603717;CAIXA ACUSTICA PHT12000
053102014ATA;LQ SAMURAI 220V V.A
033101202ATG;LQ DIAMANTE 800 VM 127V V.G
062252010;PASSADEIRA A VAPOR BVP03B 220V
055401024;ESCOVA ROTATIVA SPIN ION BRUSH SILVER PEC02 127V
054901031;ASP PO PH1410 127V
064002055ATA;CREPEIRA E HOT DOG CHB5 220V V.A
103102017ATF;LQ PH900 PR 220V V.F                                                            
033302051;EF MAX PR FUN KITCHEN 220V
058303005ATA;MAQUINA DE COSTURA FUN CLEAN BIV V.A
063902064ATB;CAF CP38 INOX 220V V.B                                                          
103102025ATD;LQ PH TOUCH PR 220V V.D                                                         
033102207;LQ B1000 BR 220V
056252016;CORTINA DE AR PCA3012M 220V
055402028ATA;ESCOVA ROTATIVA BEAUTY SHINE PEC07R                                             
066402070;PANELA SUPER CHEF CERAMIC LARGE 220V
099223004ATA;TV PH22B16D LED V.A
056101052ATB;FORNO ELETRICO 46L AUTO LIMPANTE 127                                            
056401012;PANELA PH6 RED 127V
750356;BOBINA SOLENOIDE UN EXT PH24000QFM4               
033011122ATA;VENT VENTUS 30 SIX 127V V.A
103021002;VENTILADOR DE TETO PVT04B COM CONTROLE 127V
099433010ATA;TV PTV43F61DSWNC 4K V.A                                                         
096051054ATA;MICROONDAS PMO33IP 127V V.A
056652079ATA;AR COND PORTATIL PAC11000FM3 220V V.A
056552000;MAQUINA DE MACARRAO BELLA PASTA 220V
096051068ATB;MICRO-ONDAS PMO26P 127V V.B
099503008ATA;TV PTV50D60SA LED BIV V.A
033402080;BATEDEIRA DIAMANTE INOX PR 220V
056402039ATB;PANELA DE PRESSAO DIGITAL 6L PPPS01                                             
096652224ATA;AR COND PH9000TFM5 220V unid Ext. V.A
068402001;SELADORA A VACUO BSV01 220V
103012023ATC;VENTILADOR PVT500 TURBO 220V V.C
056102025ATA;FORNO DIGITAL ROTISSERIE 220V V.A
059205007;HEADPHONE PH02V
053301034ATA;MULTIPRO ALL IN ONE + PR 127V V.A                                               
099393011;TV PH39U21DSGW LED
033101249ATB;LIQUIDIFICADOR BLQ1250V REVERT TURBO 127V V.B
101202017;MULTIPROCESSADOR PMP1550P PRO TURBO 220V
055101002ATB;BEBEDOURO ICE COMPRESSOR 127V V.B
054701005;AQ COMFORT HOME 127V
063602055;FE 997C1 220V
063601059;FE FB177 127V
033012081ATE;VENT MEGA TURBO 40 SIX 220V V.E                   
718086;TECLADO FUNC TV PH20U21DR                         
033011135ATA;VENTILADOR BVT480P TURBO 127V V.A                                               
063602038;FE FB996 220V
096652098;AR COND PH12000QFM5 220V INTERNA
096652100;AR COND PH12000QFM5 220V EXTERNA
105903003;COOK CHEF 4
056051032;MICROONDAS PME28 127V
053502035;SEC CABELOS ACTION ION LISS N 220V
053102024;LQ SUPER CHEF SAMURAI FUN KITCHEN 220V
033101106ATC;LQ ELETRONIC FILTER 800 4V PR 127V V.C
066603095;AUDIO BS96
054902008;ASP PO TURBO 1800 220V
096652292;AR COND PAC30000QFM6 220V Unid. Int.
056402015ATA;PANELA ARROZ PH5 VISOR GLASS 220V V.              
033401117;BAT PLANETARIA BBP515V INOX 127
066401064;PANELA DE PRESSAO DIGITAL 5L 127V
098003565;NOTEBOOK 14M2-S1223W8-3D
099243028ATA;TV PH24D21DB V.A
103401037;BATEDEIRA PBT510P INOX 127V
053901043ATA;CAF KITCHEN ART PCF01 127V V.A                                                  
052551001;PIPOQUEIRA POPNEW PPI02 127V
099393025ATA;TV PTV39N91D LED V.A                                                            
056652080ATA;AR COND PORTATIL PAC11000QF3 220V V.A
033102019ATI;LQ DIAMANTE BLACK 220V VERSAO I
056401004ATB;PANELA PRESSAO DIGITAL 6L 127V V.B
103302024ATE;MULTIPROCESSADOR ALL IN ONE PR + CIT 220V V.E
033102291;LIQUIDIFICADOR BLQ1280V 220V
066701140ATA;SANDUICHEIRA E GRILL ULTRA RAPID BGR02 127V V.A                                 
751484;LAMPADA 220V 15W FORNO 55L                        
751482;MOTOR SINCRONO 220V CA TYC50A-2118-H 4W 2.53RPM  
053301028;EF NECTAR TURBO 100 PH VD 127V
128003004ATC;NOTEBOOK PHN 14003 VERSAO C
063602001;FE FB991 220V                      
066701005;LARGE GRILL 127V                   
033101004;LIQUIDIFICADOR BELLAGIO 127V 5V BRA
051101010ATB;SERRA CIRCULAR PSC01 127V V.B
056401015ATXA85C;PANELA ARROZ PH5 VISOR GLASS PR 127V                                            
053402003;BAT PARIS INOX PR 220V             
063802018;FRIT AIR FRY BRITANIA PR 220V
053501059ATA;SECADOR DE CABELOS PSC3P RX 127V V.A                                            
053301018;MULTIPROCESSADOR ALL IN ONE 2 PR 127V
098103072;DESKTOP DTC2-P946W8
096052018ATB;MICROONDAS PME22 220V V.B
033011130;VENTILADOR BVT30V TURBO 127V
063801039ATA;FRITADEIRA AIR FRY DIGITAL 5.5L BFR0                                            
056603127;AUDIO PB350                                       
051202001ATA;MULTIPROCESSADOR RETRO PMP1000V 220V                                            
066803000;CARREGADOR DE PILHAS
055402013ATYF99A;ESCOVA ROTATIVA BEAUTY SHINE PEC04R                                             
056603052;AUDIO PH60                         
063902011;CAFETEIRA EXPRESSO BRCE2 220V      
056652037ATC;COND AR PORTATIL PH13000F 220V V.C
103102075;LQ PLQ1010B 220V
103012009;VENT COLUNA PHILCO 40 TURBO ZES 220V
063502050;SEC CABELOS SP3000 PROFISSIONAL 220V
053502021;SEC BEAUTY STYLE 220V
056603084ATC;AUDIO PH61L VERSAO C
033012081ATN;VENT MEGA TURBO 40 SIX 220V V.N
057003096ATB;HOME THEATER PHT680 V.B
755603;CH VELOC 127V INOX FILTER PH V.B                  
066401105;PANELA DE PRESSAO DIGITAL 5L 127V
763000838;RES ELE FX SMD 390R J 14W 1206                   
757235;PEGADOR ALIMENTOS FRIT PRO SAUDE 2                
033012139ATA;VENT BVT480B TURBO  220V  V.A
055901010;COOKTOP DE INDUCAO PCT20P PORTATIL 127V
063951038;CHALEIRA ELETRICA 1,8L TEMP CONTROL BCH07I 127V
096662081;AR COND PAC12000TQFM12 INT 220V
033102118ATK;LQ DIAMANTE 800 PR 220V V.K
055901010;COOKTOP DE INDUCAO PCT20P PORTATIL 127V
063951038;CHALEIRA ELETRICA 1,8L TEMP CONTROL BCH07I 127V
099283008ATA;TV PH28B25DG LED V.A                              
096662081;AR COND PAC12000TQFM12 INT 220V
096052038;MICROONDAS PMS32 220V
103301023;MULTI PRO ALL IN ONE PR CITRUS 127V
063801027ATA;FRIT AIR FRY PRO SAUDE N PR 127V V.A              
033101080ATC;LQ CRISTAL 600 PR 127V V.C                        
063601053;FE FB26 127V
066402093;PANELA DE PRESSAO DIGITAL 5.0L 220V
065401020;ESC ROTATIVA CERAMIC BEAUTY 127V
062465;GOLDEN WAFFLE 220V                 
058551006;LAVADORA E SECADORA PLS11B 127V
054802006ATF;CERVEJEIRA FROSTBIER CER P-01 220V V.F
054902056ATA;ASP PO CICLONE FORCE PAS06 220V V.A
